Lopen Vihreät ry.,5
Marika Visakorpi eduskuntaan,4
Sanna Antikainen,4
Tomi Kuosmanen eduskuntaan 2019,4
Tarja Eklund,4
Lapin Kokoomus,4
Petri Honkonen,4
Emmi Mäkinen SDP,4
Bernie Sanders,4
"Vesa Puuronen, Vasemmistoliitto",4
Savo-Karjalan vihreät,4
Päivi Räsänen,4
Armon Vihreät,4
Soili Haverinen,4
Helsingin piraatit,4
Secrets Open,4
Myä päätetää - Joona Mielonen,4
Marko Ekqvist,4
Peter Östman - Politiker - Poliitikko,4
Hanna Huttunen,4
Ilpo Heltimoinen politiikkasivut,4
Veronica Kalhori eduskuntaan Uudellamaalla,4
Jenni Laasonen - Eduskuntavaaliehdokas,4
Mauno Vanhala Eduskuntaan 2019 Numerolla 49 Keskusta Keski-Suomi,4
Pohjanmaan Sosialidemokraatit,4
Jari Koskela eduskuntaan,4
Lahden Vihreät ry,4
Uudenmaan Kokoomus Ry,4
Arja Ryynänen,4
Pekka Korpivaara,4
"Barbara Heinonen, riksdagskandidat",4
Anton Murola - Liberaalipuolue,4
Miche Oksanen,3
Joni Ojala - 237 - Uusimaa,3
Marja Ruokonen,3
Sari Tanus kansanedustajana ja kaupunginvaltuutettuna,3
Tampereen Kokoomusopiskelijat TYKO ry,3
Eduskuntavaaliehdokas Jere Liikanen,3
Elina Sagne-Ollikainen,3
Tampereen Vihreät,3
"Virpi Montonen eduskuntavaaliehdokas, Uudenmaan vaalipiiri, Keskusta",3
Annamaija Saarela,3
"Seija Muurinen, HKI, eduskuntavaaliehdokas numerolla 208",3
"Tarja Uusipaasto Jämsän kaupunginvaltuutettu, eduskuntavaaliehdokas",3
Mikko Uusitalo Eduskuntaan,3
Janne Rummakko Eduskuntaan 2019,3
Hakaniemen Sosialidemokraatit Ry,3
Jarno Strengell eduskuntavaaliehdokas 14.4.2019,3
Markku Eestilä,3
Jari Leppä,3
Anne Huotari Eduskuntaan,3
Pia-Lisa Sundell,3
Harri Oksanen Eduskuntaan,3
Sean Bergenheim,3
Antti Kivelä,3
Janne Ahonen,3
"Maaret Lommi - kansanedustajaehdokas, Kaakkois-Suomi",3
Oulun piirin sosialidemokraatit,3
Varsinais-Suomen Perussuomalaiset Nuoret ry,3
Marjaana Mikkonen eduskuntaan 2019,3
Lotta Laaksonen,3
Laura Pullinen,3
Veijo Tirkkonen SDP Eduskuntaan 2019,3
Paco Diop,3
Taneli Kalliokoski eduskuntavaaliehdokas,3
Sofia Virta,3
Suvi Röntynen,3
"Markku ""Werne"" Tanskanen",3
Ville Tavio,3
Simo Toivanen - Ihmisen ääni,3
Ilkka Sasi,3
Nicke Wulff,3
"Isabella ""Bella"" Alén",2
"Sari Hyytiäinen, eduskuntavaaliehdokas 2019",2
Sanna Paasikivi PS eduskuntaan,2
235 Jukka Kekkonen SDP Helsinki,2
Lapin Sosialidemokraatit,2
Joensuun Vasemmisto,2
Kuvan mahdollinen sisältö: ainakin yksi henkilö ja puku,2
Kainuun Vasemmisto,2
Maisa Juntunen,2
Hanna Kosonen,2
Pia Viitanen,2
Maria Jokinen,2
Eliisa Kuusama - Liberaalipuolue,2
Mari Kauhaniemi,2
Heli eduskuntaan 2019,2
Christoffer Ingo,2
Labour Campaign for Free Movement,2
Antti Vuolanne -kampanjasivu,2
"Mika Byman, poliitikko",2
Realistinen Utopia,2
Auli Piiparinen,2
Mari Parkkinen vaalit 2019,2
Jyväskylän Vihreät,2
Lotta Alhonnoro,2
Vantaan Vihreät,2
Leo Byskata,2
Eeva-Maria Maijala,2
Siiri Muhonen,2
Lauri Kosonen,2
"Marika Sorja, PS",2
Iida Tani,2
Kevin Servin PS - Eduskuntavaaliehdokas,2
Anna-Maja Henriksson,2
Eduskuntavaaliehdokas Jari Heikkinen,2
Mänttä-Vilppulan Vihreät,2
Mikko till riksdagen - eduskuntaan,2
Nina J. Hedkrok Eduskuntaan,2
Sami Kilpeläinen,2
Sixten Laine,2
Kenneth Eriksson,2
Jaakko Perttunen,2
Riikka Slunga-Poutsalo,2
Turun Vasemmisto,2
Anette Karlsson,2
Hyvinkään Perussuomalaiset virallinen,2
Tapahtuman Vivojen kevätleiri 2019 kansikuva,2
Jyvioni - Jyväskylän vihreät nuoret ja opiskelijat ry,2
Kimmo Sasi,2
Susanna Riekkinen Eduskuntaan,2
Antti Salonen Pääluottamusmies,2
Nicola Sturgeon,2
Mari Ikonen,2
Hanna Laakso,2
Keski-Suomen Vasemmisto,2
Runa Ismark,2
Jouni Rautiainen eduskuntaan,1
Riihimäen Vihreät,1
Miikka Keränen,1
